event_name,date,latitude,longitude,rainfall_mm,antecedent_7day_mm,temp_max_c,temp_min_c,humidity_pct,wind_speed_kmh,precipitation_hours,evapotranspiration_mm,soil_moisture,elevation_m,river_discharge_m3s,flood_nearby,landslide_occurred,month,year,rainfall_intensity,elevation_cat,slope_proxy,twi_proxy,combined_rain_index,season,critical_zone,log_rainfall_mm,log_antecedent_7day_mm,log_elevation_m,temp_range,landslide_risk_score
India_Kedarnath_2013,2013-06-15,30.74,79.07,18.0,53.9,10.1,3.6,99,5.1,17.0,2.91,0.488,3622.0,0.44,0,1,6,2013,1.0588235294117647,4,0.8195057690895077,0.5883021169770097,32.36,2,0,2.9444389791664403,4.005513348515485,8.195057690895077,6.5,0.5406
India_Kedarnath_2013,2013-06-16,30.74,79.07,122.3,53.9,7.3,5.1,99,4.3,24.0,1.23,0.492,3622.0,0.47,0,1,6,2013,5.095833333333333,4,0.8195057690895077,0.5931242654768213,94.94,2,1,4.814620410170298,4.005513348515485,8.195057690895077,2.2,0.6102
India_Kedarnath_2013,2013-06-17,30.74,79.07,157.2,53.9,7.8,4.3,97,6.2,24.0,1.23,0.491,3622.0,0.66,0,1,6,2013,6.55,4,0.8195057690895077,0.5919187283518684,115.88,2,1,5.063860055333554,4.005513348515485,8.195057690895077,3.5,0.6297
India_Kedarnath_2013,2013-06-18,30.74,79.07,3.3,53.9,9.1,1.1,99,4.5,11.0,3.19,0.49,3622.0,0.94,0,1,6,2013,0.3,4,0.8195057690895077,0.5907131912269156,23.540000000000003,2,0,1.4586150226995167,4.005513348515485,8.195057690895077,8.0,0.5313
India_Kedarnath_2013,2013-06-19,30.74,79.07,0.0,53.9,9.9,0.9,97,5.5,0.0,4.39,0.488,3622.0,0.94,0,1,6,2013,0.0,4,0.8195057690895077,0.5883021169770097,21.560000000000002,2,0,0.0,4.005513348515485,8.195057690895077,9.0,0.5254
India_Uttarakhand_2021,2021-10-17,30.51,79.42,1.4,0.0,18.0,6.9,79,6.8,7.0,1.69,0.292,2545.0,93.84,0,1,10,2021,0.19999999999999998,3,0.7842278779117352,0.3676526701225297,0.84,3,0,0.8754687373538999,0.0,7.842278779117352,11.1,0.3845
India_Uttarakhand_2021,2021-10-18,30.51,79.42,104.6,0.0,13.1,10.2,91,6.5,24.0,0.47,0.404,2545.0,93.41,0,1,10,2021,4.358333333333333,3,0.7842278779117352,0.5086701326352809,62.75999999999999,3,1,4.659658371272161,0.0,7.842278779117352,2.9000000000000004,0.494
India_Uttarakhand_2021,2021-10-19,30.51,79.42,74.8,0.0,13.6,8.1,91,10.4,19.0,0.77,0.427,2545.0,105.66,0,1,10,2021,3.9368421052631577,3,0.7842278779117352,0.5376290758298636,44.879999999999995,3,1,4.328098292648326,0.0,7.842278779117352,5.5,0.4789
India_Uttarakhand_2021,2021-10-20,30.51,79.42,1.1,0.0,16.0,5.5,92,8.0,4.0,2.24,0.409,2545.0,120.34,0,1,10,2021,0.275,3,0.7842278779117352,0.5149655550688857,0.66,3,0,0.7419373447293773,0.0,7.842278779117352,10.5,0.4284
India_Uttarakhand_2021,2021-10-21,30.51,79.42,0.0,0.0,16.9,4.0,80,7.7,0.0,3.08,0.396,2545.0,119.23,0,1,10,2021,0.0,3,0.7842278779117352,0.49859745674151296,0.0,3,0,0.0,0.0,7.842278779117352,12.899999999999999,0.4054
India_Chamoli_2021,2021-02-07,30.43,79.57,0.0,18.0,4.1,-11.9,31,10.3,0.0,2.94,0.334,3517.0,0.28,0,1,2,2021,0.0,4,0.8165647925297504,0.4040820550531474,7.2,0,0,0.0,2.9444389791664403,8.165647925297504,16.0,0.3682
India_Chamoli_2021,2021-02-08,30.43,79.57,0.0,18.0,5.6,-1.7,38,7.9,0.0,3.16,0.347,3517.0,0.28,0,1,2,2021,0.0,4,0.8165647925297504,0.41980979971090465,7.2,0,0,0.0,2.9444389791664403,8.165647925297504,7.3,0.3822
India_Chamoli_2021,2021-02-09,30.43,79.57,0.0,18.0,6.3,2.5,52,8.6,0.0,2.83,0.365,3517.0,0.28,0,1,2,2021,0.0,4,0.8165647925297504,0.44158667692933773,7.2,0,0,0.0,2.9444389791664403,8.165647925297504,3.8,0.4088
India_Chamoli_2021,2021-02-10,30.43,79.57,2.9,18.0,2.0,-8.7,70,8.6,5.0,2.14,0.37,3517.0,0.28,0,1,2,2021,0.58,4,0.8165647925297504,0.4476358094900136,8.94,0,0,1.3609765531356006,2.9444389791664403,8.165647925297504,10.7,0.4413
India_Chamoli_2021,2021-02-11,30.43,79.57,0.0,18.0,2.9,-4.9,65,8.4,0.0,2.86,0.374,3517.0,0.28,0,1,2,2021,0.0,4,0.8165647925297504,0.4524751155385543,7.2,0,0,0.0,2.9444389791664403,8.165647925297504,7.800000000000001,0.432
