event_name,date,latitude,longitude,rainfall_mm,antecedent_7day_mm,temp_max_c,temp_min_c,humidity_pct,wind_speed_kmh,precipitation_hours,evapotranspiration_mm,soil_moisture,elevation_m,river_discharge_m3s,flood_nearby,landslide_occurred
India_Kedarnath_2013,2013-06-15,30.74,79.07,18.0,53.9,10.1,3.6,99,5.1,17.0,2.91,0.488,3622.0,0.44,0,1
India_Kedarnath_2013,2013-06-16,30.74,79.07,122.3,53.9,7.3,5.1,99,4.3,24.0,1.23,0.492,3622.0,0.47,0,1
India_Kedarnath_2013,2013-06-17,30.74,79.07,157.2,53.9,7.8,4.3,97,6.2,24.0,1.23,0.491,3622.0,0.66,0,1
India_Kedarnath_2013,2013-06-18,30.74,79.07,3.3,53.9,9.1,1.1,99,4.5,11.0,3.19,0.49,3622.0,0.94,0,1
India_Kedarnath_2013,2013-06-19,30.74,79.07,0.0,53.9,9.9,0.9,97,5.5,0.0,4.39,0.488,3622.0,0.94,0,1
India_Uttarakhand_2021,2021-10-17,30.51,79.42,1.4,0.0,18.0,6.9,79,6.8,7.0,1.69,0.292,2545.0,93.84,0,1
India_Uttarakhand_2021,2021-10-18,30.51,79.42,104.6,0.0,13.1,10.2,91,6.5,24.0,0.47,0.404,2545.0,93.41,0,1
India_Uttarakhand_2021,2021-10-19,30.51,79.42,74.8,0.0,13.6,8.1,91,10.4,19.0,0.77,0.427,2545.0,105.66,0,1
India_Uttarakhand_2021,2021-10-20,30.51,79.42,1.1,0.0,16.0,5.5,92,8.0,4.0,2.24,0.409,2545.0,120.34,0,1
India_Uttarakhand_2021,2021-10-21,30.51,79.42,0.0,0.0,16.9,4.0,80,7.7,0.0,3.08,0.396,2545.0,119.23,0,1
India_Chamoli_2021,2021-02-07,30.43,79.57,0.0,18.0,4.1,-11.9,31,10.3,0.0,2.94,0.334,3517.0,0.28,0,1
India_Chamoli_2021,2021-02-08,30.43,79.57,0.0,18.0,5.6,-1.7,38,7.9,0.0,3.16,0.347,3517.0,0.28,0,1
India_Chamoli_2021,2021-02-09,30.43,79.57,0.0,18.0,6.3,2.5,52,8.6,0.0,2.83,0.365,3517.0,0.28,0,1
India_Chamoli_2021,2021-02-10,30.43,79.57,2.9,18.0,2.0,-8.7,70,8.6,5.0,2.14,0.37,3517.0,0.28,0,1
India_Chamoli_2021,2021-02-11,30.43,79.57,0.0,18.0,2.9,-4.9,65,8.4,0.0,2.86,0.374,3517.0,0.28,0,1
India_Uttarakhand_2022,2022-10-18,30.51,79.42,3.0,4.6,13.1,3.2,88,9.4,6.0,2.53,0.36,2545.0,126.35,0,1
India_Uttarakhand_2022,2022-10-19,30.51,79.42,1.0,4.6,11.3,1.8,82,6.6,7.0,2.26,0.362,2545.0,122.31,0,1
India_Uttarakhand_2022,2022-10-20,30.51,79.42,1.9,4.6,11.6,1.1,75,5.6,4.0,2.32,0.363,2545.0,118.67,0,1
India_Uttarakhand_2022,2022-10-21,30.51,79.42,1.9,4.6,12.2,-0.2,79,6.9,3.0,2.67,0.362,2545.0,115.68,0,1
India_Uttarakhand_2022,2022-10-22,30.51,79.42,0.0,4.6,13.0,0.0,76,8.6,0.0,2.89,0.361,2545.0,112.5,0,1
India_Joshimath_2023,2023-07-25,30.56,79.57,2.3,31.3,27.2,20.3,100,8.2,11.0,3.98,0.383,1566.0,4.87,0,1
India_Joshimath_2023,2023-07-26,30.56,79.57,23.2,31.3,25.5,20.5,98,7.4,15.0,2.66,0.407,1566.0,5.12,0,1
India_Joshimath_2023,2023-07-27,30.56,79.57,6.4,31.3,25.7,20.3,96,8.0,12.0,3.4,0.394,1566.0,5.27,0,1
India_Joshimath_2023,2023-07-28,30.56,79.57,5.8,31.3,25.8,20.9,98,5.9,17.0,3.7,0.384,1566.0,5.35,0,1
India_Joshimath_2023,2023-07-29,30.56,79.57,5.2,31.3,25.7,21.0,98,5.2,15.0,2.06,0.395,1566.0,5.37,0,1
India_Kinnaur_HP_2021,2021-08-11,31.52,78.47,4.1,35.8,12.2,4.0,100,7.4,7.0,4.08,0.385,4321.0,17.45,0,1
India_Kinnaur_HP_2021,2021-08-12,31.52,78.47,1.6,35.8,12.1,4.2,94,7.2,6.0,3.89,0.374,4321.0,17.28,0,1
