Feature,Landslide_Mean,NoLandslide_Mean,Diff,r,p_value,Sig
rainfall_mm,20.638,1.506,19.132,0.3722,0.0,✓
antecedent_7day_mm,101.328,8.229,93.099,0.5593,0.0,✓
temp_max_c,22.601,28.676,-6.075,-0.2918,0.0,✓
temp_min_c,16.631,17.998,-1.367,-0.0711,0.047447,✓
humidity_pct,94.348,72.454,21.894,0.4473,0.0,✓
wind_speed_kmh,13.944,15.512,-1.569,-0.1138,0.001492,✓
precipitation_hours,12.969,2.195,10.774,0.6472,0.0,✓
evapotranspiration_mm,2.832,5.193,-2.361,-0.4432,0.0,✓
soil_moisture,0.408,0.174,0.234,0.7203,0.0,✓
elevation_m,1156.172,442.01,714.162,0.3826,0.0,✓
river_discharge_m3s,88.121,91.602,-3.481,-0.0045,0.901417,✗
