location,temperature,rainfall,humidity,pressure,soil_moisture,elevation
Pune,19.7,0.0,67,1014.6,0.274,556.0
Pune,20.2,0.0,72,1016.5,0.27,556.0
Pune,19.1,0.0,71,1015.5,0.269,556.0
Pune,19.2,0.0,72,1014.1,0.27,556.0
Pune,19.8,0.0,70,1014.9,0.273,556.0
Pune,22.1,0.0,66,1015.8,0.274,556.0
Pune,23.0,0.0,71,1014.1,0.274,556.0
Pune,21.2,0.1,73,1014.0,0.273,556.0
Pune,20.2,0.0,69,1014.5,0.269,556.0
Pune,20.7,0.0,70,1015.1,0.268,556.0
Pune,22.0,0.0,67,1015.7,0.268,556.0
Pune,21.2,0.0,67,1014.6,0.271,556.0
Pune,21.3,0.0,73,1012.9,0.271,556.0
Pune,20.6,0.0,73,1012.8,0.27,556.0
Pune,19.9,0.0,68,1013.2,0.267,556.0
Pune,17.3,0.0,65,1014.5,0.264,556.0
Pune,17.1,0.0,59,1014.7,0.256,556.0
Pune,20.0,0.0,61,1014.1,0.242,556.0
Pune,21.6,0.0,63,1014.7,0.242,556.0
Pune,22.9,0.0,62,1014.9,0.241,556.0
Pune,23.4,0.0,59,1015.2,0.241,556.0
Pune,23.8,0.0,58,1015.9,0.241,556.0
Pune,23.0,0.0,56,1015.4,0.241,556.0
Pune,22.6,0.0,57,1015.2,0.241,556.0
Pune,22.9,0.0,56,1014.5,0.241,556.0
Pune,24.0,0.0,55,1013.0,0.24,556.0
Pune,22.7,0.0,55,1012.2,0.242,556.0
Pune,20.2,0.0,70,1013.6,0.24,556.0
Pune,18.7,0.0,68,1015.9,0.24,556.0
Pune,19.1,0.0,63,1014.6,0.241,556.0
Pune,20.4,0.0,60,1012.6,0.24,556.0
Pune,21.0,0.0,58,1013.5,0.24,556.0
Pune,21.6,0.0,63,1015.4,0.24,556.0
Pune,22.3,0.0,64,1014.6,0.24,556.0
Pune,22.4,0.0,58,1013.8,0.24,556.0
Pune,22.4,0.0,51,1013.9,0.24,556.0
Pune,21.3,0.0,48,1013.3,0.24,556.0
Pune,19.6,0.0,49,1014.6,0.24,556.0
Pune,21.4,0.1,57,1015.0,0.241,556.0
Pune,21.7,0.0,58,1015.5,0.241,556.0
Pune,23.5,0.5,62,1014.8,0.246,556.0
Pune,23.8,0.0,61,1015.6,0.242,556.0
Pune,24.9,0.0,57,1016.7,0.242,556.0
Pune,24.7,0.0,54,1016.0,0.24,556.0
Pune,24.3,0.0,47,1014.2,0.241,556.0
Pune,24.2,0.0,47,1013.6,0.241,556.0
Pune,25.4,0.0,45,1014.2,0.241,556.0
Pune,25.6,0.0,45,1015.1,0.24,556.0
Pune,25.7,0.0,44,1014.6,0.24,556.0
Pune,25.8,0.0,40,1013.1,0.24,556.0
Pune,25.8,0.0,41,1012.8,0.24,556.0
Pune,25.6,0.0,42,1015.3,0.24,556.0
Pune,25.6,0.0,41,1016.0,0.24,556.0
Pune,26.0,0.0,39,1014.2,0.24,556.0
Pune,26.1,0.0,34,1012.1,0.24,556.0
Pune,24.0,0.0,33,1012.5,0.24,556.0
Pune,23.8,0.0,33,1013.4,0.24,556.0
Pune,24.7,0.0,30,1013.0,0.24,556.0
Pune,25.7,0.0,33,1011.1,0.24,556.0
Pune,25.5,0.0,33,1011.0,0.24,556.0
Pune,24.8,0.0,43,1012.0,0.24,556.0
Pune,25.0,0.0,41,1012.4,0.24,556.0
Pune,23.3,0.0,44,1012.6,0.24,556.0
Pune,22.1,0.0,63,1012.4,0.24,556.0
Pune,22.5,0.0,62,1011.0,0.24,556.0
Pune,21.4,0.0,66,1011.9,0.24,556.0
Pune,22.2,0.0,59,1013.2,0.242,556.0
Pune,23.6,0.0,54,1012.5,0.24,556.0
Pune,24.4,0.0,45,1011.3,0.24,556.0
Pune,23.9,0.0,56,1011.5,0.24,556.0
Pune,22.9,0.0,57,1012.4,0.24,556.0
Pune,22.0,0.0,62,1014.0,0.24,556.0
Pune,22.3,0.0,47,1014.1,0.241,556.0
Pune,24.1,0.0,33,1012.4,0.24,556.0
Pune,25.8,0.0,33,1012.1,0.24,556.0
